id,state,county,unemploymentRate
1001,Alabama,Autauga County,5.1
1003,Alabama,Baldwin County,4.9
1005,Alabama,Barbour County,8.6
1007,Alabama,Bibb County,6.2
1009,Alabama,Blount County,5.1
1011,Alabama,Bullock County,7.1
1013,Alabama,Butler County,6.7
1015,Alabama,Calhoun County,6.1
1017,Alabama,Chambers County,5
1019,Alabama,Cherokee County,5
1021,Alabama,Chilton County,5.2
1023,Alabama,Choctaw County,7.9
1025,Alabama,Clarke County,11.1
1027,Alabama,Clay County,5.9
1029,Alabama,Cleburne County,5.5
1031,Alabama,Coffee County,5.6
1033,Alabama,Colbert County,6.5
1035,Alabama,Conecuh County,7.7
1037,Alabama,Coosa County,5.7
1039,Alabama,Covington County,6.7
1041,Alabama,Crenshaw County,5.7
1043,Alabama,Cullman County,4.8
1045,Alabama,Dale County,5.6
1047,Alabama,Dallas County,9.5
1049,Alabama,DeKalb County,5.7
1051,Alabama,Elmore County,4.7
1053,Alabama,Escambia County,6.3
1055,Alabama,Etowah County,5.7
1057,Alabama,Fayette County,6.6
1059,Alabama,Franklin County,5.5
1061,Alabama,Geneva County,5.4
1063,Alabama,Greene County,9.3
1065,Alabama,Hale County,7.6
1067,Alabama,Henry County,6.3
1069,Alabama,Houston County,5.6
1071,Alabama,Jackson County,5.9
1073,Alabama,Jefferson County,5.5
1075,Alabama,Lamar County,5.2
1077,Alabama,Lauderdale County,6
1079,Alabama,Lawrence County,6.4
1081,Alabama,Lee County,4.9
1083,Alabama,Limestone County,5
1085,Alabama,Lowndes County,10.3
1087,Alabama,Macon County,7.2
1089,Alabama,Madison County,4.9
1091,Alabama,Marengo County,6.9
1093,Alabama,Marion County,6.1
1095,Alabama,Marshall County,5.1
1097,Alabama,Mobile County,6.5
1099,Alabama,Monroe County,8.6
1101,Alabama,Montgomery County,5.6
1103,Alabama,Morgan County,5.2
1105,Alabama,Perry County,10.9
1107,Alabama,Pickens County,6.7
1109,Alabama,Pike County,6.4
1111,Alabama,Randolph County,5.7
1113,Alabama,Russell County,5.3
1115,Alabama,St. Clair County,5
1117,Alabama,Shelby County,4.2
1119,Alabama,Sumter County,7.3
1121,Alabama,Talladega County,6.4
1123,Alabama,Tallapoosa County,5.1
1125,Alabama,Tuscaloosa County,5.5
1127,Alabama,Walker County,7.2
1129,Alabama,Washington County,8.3
1131,Alabama,Wilcox County,13.9
1133,Alabama,Winston County,7
